,Phase,human_cube_pos,human_cube_orn,Cube_Pos,Cube_Orn,Cube_pos_in_start_pos,b'l_prox_pin'_link_pos,b'l_prox_pin'_link_orn,b'l_distal_pin'_link_pos,b'l_distal_pin'_link_orn,b'r_prox_pin'_link_pos,b'r_prox_pin'_link_orn,b'r_distal_pin'_link_pos,b'r_distal_pin'_link_orn,b'l_prox_pin'_joint_angle,b'l_prox_pin'_joint_vel,b'l_prox_pin'_joint_react_forces,b'l_prox_pin'_joint_motor_torque,b'l_distal_pin'_joint_angle,b'l_distal_pin'_joint_vel,b'l_distal_pin'_joint_react_forces,b'l_distal_pin'_joint_motor_torque,b'r_prox_pin'_joint_angle,b'r_prox_pin'_joint_vel,b'r_prox_pin'_joint_react_forces,b'r_prox_pin'_joint_motor_torque,b'r_distal_pin'_joint_angle,b'r_distal_pin'_joint_vel,b'r_distal_pin'_joint_react_forces,b'r_distal_pin'_joint_motor_torque,in_contact_l,contact_point_l_dist,contact_normal_l_dist,contact_distance_l_dist,contact_norm_force_l_dist,in_contact_r,contact_point_r_dist,contact_normal_r_dist,contact_distance_r_dist,contact_norm_force_r_dist
0,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, -0.0, 0.42911963056438457]","[-0.056707073003053665, 0.11847192794084549, 0.0]","[0.0, -0.0, 0.45039105429582504]","[0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, 0.0, -0.4289764193204764]","[0.05669769272208214, 0.11847621947526932, 0.0]","[0.0, 0.0, -0.45025571851814855]",0.5441678170851227,27.611554939934045,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.44759405077923,0.019144266012647085,-0.5105137603372556,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.31309363847858035,-0.5440389941346144,-27.61501953876534,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.448144808027069,-0.01915135067266845,0.5107026846044919,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.31312949345866065,False,,,,,False,,,,
1,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, -0.0, 0.8983214686784933]","[-0.08307433128356934, 0.09785052388906479, 0.0]","[0.0, -0.0, 0.9108819698249412]","[0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, 0.0, -0.8982371197662743]","[0.0830705463886261, 0.09785527735948563, 0.0]","[0.0, 0.0, -0.9108023202037385]",0.9655290545479623,16.129827700889184,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.608510457452871,0.011304497637807977,-0.30145327034154606,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.18678019531077908,-0.9654531329157218,-16.131853521172594,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.60883512599667,-0.011308681058703994,0.3015648282321065,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.18680210025389385,False,,,,,False,,,,
2,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, -0.0, 1.1741944283651782]","[-0.09316128492355347, 0.08081261068582535, 0.0]","[0.0, -0.0, 1.1816112280342423]","[0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, 0.0, -1.1741446690701827]","[0.09315989911556244, 0.08081591129302979, 0.0]","[0.0, 0.0, -1.1815643119569732]",1.2141223950675137,9.582717980970411,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.566594992367831,0.006675192810149232,-0.17800514160397932,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.11329787118344785,-1.2140776892842056,-9.583921137352123,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.566790308868891,-0.006677663078354121,0.1780710154227766,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.11331132548769854,False,,,,,False,,,,
3,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, -0.0, 1.337422599908487]","[-0.09679820388555527, 0.069650799036026, 0.0]","[0.0, -0.0, 1.341802240600705]","[0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, 0.0, -1.3373935010497093]","[0.09679771959781647, 0.06965284049510956, 0.0]","[0.0, 0.0, -1.3417745748308543]",1.3608861859844497,5.63125112679965,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.9227968999123518,0.003941634602465021,-0.10511025606573396,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.06711493445237729,-1.360859910394858,-5.631958377219917,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.9229121714364041,-0.003943093271137326,0.10514915389699532,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.06712296635595605,False,,,,,False,,,,
4,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, -0.0, 1.433340417582614]","[-0.09807088226079941, 0.06286568194627762, 0.0]","[0.0, -0.0, 1.435926710678358]","[0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, 0.0, -1.4333233494124675]","[0.09807071089744568, 0.06286691129207611, 0.0]","[0.0, 0.0, -1.435910326708968]",1.4471279012605536,3.30897554970189,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.5427795369014742,0.0023274958164095708,-0.062066555104255156,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.03960444627738313,-1.4471124587012973,-3.30939124445761,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.5428474212252811,-0.0023283571456738806,0.06208952388463673,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.039609207157766106,False,,,,,False,,,,
5,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, -0.0, 1.4897019508130835]","[-0.09851337969303131, 0.05883239582180977, 0.0]","[0.0, -0.0, 1.4912292304794907]","[0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, 0.0, -1.4896919986652606]","[0.09851332753896713, 0.05883311852812767, 0.0]","[0.0, 0.0, -1.4912196151911818]",1.4978033294956328,1.944320795710432,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.3191156567518843,0.0013743630046316876,-0.03664968012351168,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.02332793318784059,-1.4977942539354006,-1.9445651097990244,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.31915559930694093,-0.00137487161094897,0.03666324295863919,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.02333074476762375,False,,,,,False,,,,
6,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, -0.0, 1.5228191710342938]","[-0.09866715222597122, 0.05645303055644035, 0.0]","[0.0, -0.0, 1.523720862072974]","[0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, 0.0, -1.5228134366681847]","[0.09866712987422943, 0.05645345523953438, 0.0]","[0.0, 0.0, -1.5237153864848207]",1.5275793580568398,1.142441491226993,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.1875684235545275,0.0008115476106049652,-0.021641269616132414,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.01372604322869241,-1.527574024456994,-1.1425850754234725,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.18759191333511144,-0.0008118479375492575,0.021649278334646888,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.013727700066628237,False,,,,,False,,,,
7,Close,,,"(-1.8213889441141398e-12, 0.16001454874197946, 0.010828551348521245)","(-0.00046287361524086854, -5.794822739031051e-11, -7.337959187673562e-15)",,"[-0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, -0.0, 1.2893384579261824]","[-0.09591691195964813, 0.07299846410751343, 0.0]","[0.0, -0.0, 1.0459985223050663]","[0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, 0.0, -1.2893349769338789]","[0.09591684490442276, 0.07299870252609253, 0.0]","[0.0, 0.0, -1.0459952101310541]",1.2192621320929473,-16.818331410826993,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.9043641361742303,-0.3090059544796977,-15.759841213874733,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.37257993909132237,-1.219258993510956,16.81824701407704,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.904350583756822,0.30900577414124053,15.759846022900252,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.3725790815720578,False,,,,,False,,,,
8,Close,,,"(-2.4185626566556435e-12, 0.16001195974881022, 0.017852074029266845)","(-0.00033325906052880113, -7.397927472155015e-11, -1.0413335693785441e-11)",,"[-0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, -0.0, 1.0047670310861245]","[-0.08752065896987915, 0.09161251783370972, 0.0]","[0.0, -0.0, 0.4917616978362355]","[0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, 0.0, -1.0047648479653633]","[0.08752058446407318, 0.09161264449357986, 0.0]","[0.0, 0.0, -0.49175970288101784]",0.9635947937149378,-9.881293649659469,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.7388647967399524,-0.5517046533845501,-9.28787590974533,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.22676138335199125,-0.963592945268249,9.881243921517886,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.73885674932275,0.551704545318445,9.287878791508133,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.22676084989589002,False,,,,,False,,,,
9,Close,,,"(-3.3338818935924564e-12, 0.16000850673676864, 0.02248044092004115)","(-0.00022346847222235797, -1.0248160998129262e-10, -1.0815665823160981e-11)",,"[-0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, -0.0, 0.8367183333687704]","[-0.08020630478858948, 0.10123301297426224, 0.0]","[0.0, -0.0, 0.16523490721238698]","[0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, 0.0, -0.8367171592934525]","[0.0802062526345253, 0.10123307257890701, 0.0]","[0.0, 0.0, -0.16523376874930354]",0.8126315081524509,-5.780834122584115,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.0216682118927956,-0.694335080777043,-5.484397845945523,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.13532442549534365,-0.8126304215793787,5.780804882641135,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.0216634570773744,0.6943350169650887,5.484399547597635,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.1353241018470503,False,,,,,False,,,,
10,Close,,,"(-4.756237424302428e-12, 0.16000633612124995, 0.02553107798550913)","(-0.0001544426077524551, -1.4768478333153182e-10, -1.0841249699388454e-11)",,"[-0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, -0.0, 0.7384158093879404]","[-0.0752144381403923, 0.10624658316373825, 0.0]","[0.0, 0.0, -0.026647482630946993]","[0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, 0.0, -0.7384150993108747]","[0.07521440088748932, 0.10624661296606064, 0.0]","[0.0, -0.0, 0.0266481512611544]",0.7243281679134038,-3.381022723431993,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.5991963895787833,-0.7785569218480362,-3.238482084052369,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.08022683176747399,-0.724327529259068,3.38100553427044,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.5991935865780345,0.7785568841677152,3.238483088860928,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.08022663808889016,False,,,,,False,,,,
11,Close,,,"(-5.9013823821360114e-12, 0.1600051062119302, 0.027541913128765336)","(-0.00011532791709327964, -1.8412603069616307e-10, -1.0834943567922288e-11)",,"[-0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, -0.0, 0.6809258046827094]","[-0.07207491248846054, 0.10894329845905304, 0.0]","[0.0, 0.0, -0.1393953902006137]","[0.026750000193715096, 0.05299999937415123, 0.0]","[0.0, 0.0, -0.6809253715924767]","[0.07207489013671875, 0.10894331336021423, 0.0]","[0.0, -0.0, 0.13939579155515333]",0.6726879242228981,-1.9770920964296763,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.3510667013896806,-0.8282890767820469,-1.912291285812084,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.04738342111044159,-0.6726875488641428,1.9770819928159196,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.3510650511390458,0.8282890545321941,1.912291879141491,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.047383306102458174,False,,,,,False,,,,
