,Phase,human_cube_pos,human_cube_orn,Cube_Pos,Cube_Orn,Cube_pos_in_start_pos,b'l_prox_pin'_link_pos,b'l_prox_pin'_link_orn,b'l_distal_pin'_link_pos,b'l_distal_pin'_link_orn,b'r_prox_pin'_link_pos,b'r_prox_pin'_link_orn,b'r_distal_pin'_link_pos,b'r_distal_pin'_link_orn,b'l_prox_pin'_joint_angle,b'l_prox_pin'_joint_vel,b'l_prox_pin'_joint_react_forces,b'l_prox_pin'_joint_motor_torque,b'l_distal_pin'_joint_angle,b'l_distal_pin'_joint_vel,b'l_distal_pin'_joint_react_forces,b'l_distal_pin'_joint_motor_torque,b'r_prox_pin'_joint_angle,b'r_prox_pin'_joint_vel,b'r_prox_pin'_joint_react_forces,b'r_prox_pin'_joint_motor_torque,b'r_distal_pin'_joint_angle,b'r_distal_pin'_joint_vel,b'r_distal_pin'_joint_react_forces,b'r_distal_pin'_joint_motor_torque,in_contact_l,contact_point_l_dist,contact_normal_l_dist,contact_distance_l_dist,contact_norm_force_l_dist,in_contact_r,contact_point_r_dist,contact_normal_r_dist,contact_distance_r_dist,contact_norm_force_r_dist
0,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.42755761853039154]","[-0.056604765355587006, 0.1185186430811882, 0.03999999910593033]","[0.0, -0.0, 0.4463066270391506]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.42757404208311445]","[0.05660583823919296, 0.1185181587934494, 0.03999999910593033]","[0.0, 0.0, -0.4465272228574986]",0.5418018724257314,27.418616735313837,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.412236817968903,0.016874447698417276,-0.44988750389777044,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.3112578673856835,-0.5418166170859073,-27.418223544375806,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.412120589674461,-0.017058187988154127,0.4547872631353701,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.31119999541872967,False,,,,,False,,,,
1,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.8953992050914552]","[-0.08294302970170975, 0.09801492840051651, 0.03999999910593033]","[0.0, -0.0, 0.9064715399310761]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.8954089117450801]","[0.08294346183538437, 0.09801438450813293, 0.03999999910593033]","[0.0, 0.0, -0.9066016844299951]",0.9628592876486701,16.190418996035465,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.616982039675733,0.009965290062605858,-0.26568209241480656,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.18775783729375353,-0.9628679942230576,-16.190186820718473,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.6169116334278195,-0.010073786659150813,0.26857534621184953,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.187722108909745,False,,,,,False,,,,
2,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.17165497759142]","[-0.09309044480323792, 0.08098116517066956, 0.03999999910593033]","[0.0, -0.0, 1.1781937273122836]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.1716605985979762]","[0.09309060126543045, 0.08098078519105911, 0.03999999910593033]","[0.0, 0.0, -1.178270796658152]",1.2114894807636634,9.56028051296898,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.549346412635057,0.005885062316220725,-0.15689973638119079,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.11225090666269867,-1.2114946219087734,-9.560143415766044,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.5493042197033076,-0.00594912834521185,0.1586081706180975,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.11222926703597672,False,,,,,False,,,,
3,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.3347813147466918]","[-0.09675397723913193, 0.06983575969934464, 0.03999999910593033]","[0.0, -0.0, 1.3386449621367835]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.3347844615433213]","[0.0967540368437767, 0.06983552873134613, 0.03999999910593033]","[0.0, 0.0, -1.3386905382854437]",1.3583031234961356,5.645250040103052,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.9162890978823036,0.0034783869891320215,-0.09247571818598516,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.06677007440367574,-1.3583061592909116,-5.645169085575695,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.9162639666346021,-0.003516216695348753,0.09348456497972772,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.06675710630673855,False,,,,,False,,,,
4,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.4311058207082674]","[-0.09804865717887878, 0.06302504986524582, 0.03999999910593033]","[0.0, -0.0, 1.433390691262394]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.4311075924426346]","[0.09804867953062057, 0.06302490830421448, 0.03999999910593033]","[0.0, 0.0, -1.433417470845748]",1.4449951113932331,3.333463696180452,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.5415503506795546,0.0020570753203455715,-0.05468855210882702,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.039594115216637325,-1.4449969039996904,-3.3334158933415914,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.541535435877482,-0.002079412775410495,0.055284250111531166,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.03958639191865308,False,,,,,False,,,,
5,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.4879842849605203]","[-0.09850326180458069, 0.05895565450191498, 0.03999999910593033]","[0.0, -0.0, 1.4893357278409396]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.4879853833286059]","[0.09850326925516129, 0.05895556882023811, 0.03999999910593033]","[0.0, 0.0, -1.4893513332680077]",1.4961858633265903,1.9683769779575933,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.31995094896823073,0.0012165319928285922,-0.03234212113369103,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.02343792779000599,-1.4961869218427772,-1.9683487508592754,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.31994211580738524,-0.0012297216752996233,0.03269386530715718,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.02343334437795369,False,,,,,False,,,,
6,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.5215704989376362]","[-0.09866278618574142, 0.05654282495379448, 0.03999999910593033]","[0.0, -0.0, 1.522369838325666]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.5215710825913402]","[0.09866278618574142, 0.0565427765250206, 0.03999999910593033]","[0.0, 0.0, -1.522379029767931]",1.5264134904357183,1.1623069217141797,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.18898727227709852,0.000719444125508032,-0.019126791845346432,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.013859938289241243,-1.5264141154789415,-1.162290253894895,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.18898204730565804,-0.0007272322869396521,0.019334487584604668,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.013857223880827028,False,,,,,False,,,,
7,Close,,,"(1.2478112216283415e-07, 0.16999960627914334, 0.0003375139776509844)","(1.5703757789650807, 0.0001088681168706304, -5.122612185789874e-06)",,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.2785329680082034]","[-0.09569678455591202, 0.07374466955661774, 0.03999999910593033]","[0.0, -0.0, 1.0351044933740032]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.2785333261376617]","[0.09569679200649261, 0.07374463975429535, 0.03999999910593033]","[0.0, 0.0, -1.0351099865887758]",1.2106796019673873,-16.28478938579699,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.809472854136235,-0.3090860149933808,-15.757821278062295,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.3661538009495806,-1.2106799710491603,16.284799227977608,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.8094757422584213,0.30908141619234186,15.75794391320213,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.3661552191151056,False,,,,,False,,,,
8,Close,,,"(3.0991841452431125e-07, 0.1699991530873768, 0.0005600347089338349)","(1.5707725584893357, 0.0003276471180493337, -1.5390016504502985e-05)",,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.0006670909649218]","[-0.08736184239387512, 0.09186135232448578, 0.03999999910593033]","[0.0, -0.0, 0.48836557737534114]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.0006671906734346]","[0.08736184984445572, 0.09186133742332458, 0.03999999910593033]","[0.0, 0.0, -0.4883688154364048]",0.9606001981650306,-9.616005284561718,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.667253264949997,-0.5510712009946406,-9.304767973476249,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.2218037572572205,-0.9606004161041268,9.616011096270952,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.6672550198735234,0.5510684854486152,9.30484038803693,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.22180464092959223,False,,,,,False,,,,
9,Close,,,"(2.933853975158492e-07, 0.16999904048792538, 0.0007066062154399696)","(1.5708337628024795, 0.00026866528465535426, -1.404448202163588e-05)",,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.8365897781630613]","[-0.08020010590553284, 0.1012398824095726, 0.03999999910593033]","[0.0, -0.0, 0.16552144688028117]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.8365899294750984]","[0.08020011335611343, 0.101239874958992, 0.03999999910593033]","[0.0, 0.0, -0.1655233971102189]",0.8129308110141114,-5.678154960376304,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.9873874064507416,-0.6939616573792659,-5.494397555666588,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.13292457281458034,-0.8129309397049683,5.678158392132489,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.987388459985631,0.6939600538790082,5.494440315842426,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.13292511074891808,False,,,,,False,,,,
10,Close,,,"(1.9902477861274505e-07, 0.16999905216518962, 0.0008031506137060285)","(1.5708213694470277, 0.0001751880104672085, -1.4031272711042213e-05)",,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.7397039398326887]","[-0.075282983481884, 0.10618411004543304, 0.03999999910593033]","[0.0, 0.0, -0.025114755601520013]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.7397039829241547]","[0.0752829909324646, 0.10618410259485245, 0.03999999910593033]","[0.0, -0.0, 0.025113617980755978]",0.7257335145957226,-3.3528937225526034,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.5840196078844049,-0.7783380408184963,-3.244652289205478,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.07914031685893824,-0.7257335905863868,3.3528957489703144,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.5840202358821991,0.778337093974245,3.2446775397467595,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.07914064000385382,False,,,,,False,,,,
11,Close,,,"(1.3069317882946781e-07, 0.16999905849316785, 0.0008666025578373041)","(1.570813038524343, 0.0001076496945073061, -1.4014808324094979e-05)",,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.6824937890365349]","[-0.07216256856918335, 0.10887216031551361, 0.03999999910593033]","[0.0, 0.0, -0.137687120736303]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6824937890365349]","[0.07216257601976395, 0.10887216031551361, 0.03999999910593033]","[0.0, -0.0, 0.1376864353718678]",0.6742443830336282,-1.9798502142300851,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.34523008433021124,-0.8281635344937409,-1.9158370237869804,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.046989708289177236,-0.6742444279053555,1.9798514108094807,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.3452304573414294,0.8281629754068567,1.9158519335829844,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.04698990114977892,False,,,,,False,,,,
12,Close,,,"(8.555941999099156e-08, 0.16999906193922792, 0.000908421947806545)","(1.5708075491537519, 6.311807488844542e-05, -1.4000595358663434e-05)",,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.6487117277688945]","[-0.070249542593956, 0.11037412285804749, 0.03999999910593033]","[0.0, 0.0, -0.20415830575541527]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6487117277688945]","[0.070249542593956, 0.11037411540746689, 0.03999999910593033]","[0.0, -0.0, 0.20415788801885543]",0.6438405657375271,-1.1690817530007243,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.20397674457790932,-0.8575834812137779,-1.1312243968345508,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.027828964636992654,-0.6438405922338334,1.1690824595688907,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.20397696556653716,0.8575831510875931,1.1312332006820753,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.027829079200348807,False,,,,,False,,,,
13,Close,,,"(5.567361934631568e-08, 0.16999906349286917, 0.0009359839309479349)","(1.5708039321322358, 3.37560108188707e-05, -1.3987283228090085e-05)",,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.62876384308693]","[-0.06909646838903427, 0.11123037338256836, 0.03999999910593033]","[0.0, 0.0, -0.24340789693353326]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.62876384308693]","[0.06909646838903427, 0.11123037338256836, 0.03999999910593033]","[0.0, -0.0, 0.24340764580603796]",0.6258874156623524,-0.6903310843293964,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.12048853373387189,-0.8749547691894786,-0.6679421640099914,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.016461146679105913,-0.6258874313081562,0.6903315015508323,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.12048866447898966,0.8749545742586229,0.6679473624521103,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.016461214564379854,False,,,,,False,,,,
14,Move,,,"(0.0002849434880139787, 0.17128526654835666, 0.0018667775255450016)","(1.529867145493542, 0.001236551690390913, -0.0026252758006009144)","[0.0, 0.0, 0.0]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5674368798319164]","[-0.06544800847768784, 0.113716259598732, 0.03999999910593033]","[0.0, 0.0, -0.23086444862254737]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5672775113046467]","[0.06543833017349243, 0.11372242867946625, 0.03999999910593033]","[0.0, -0.0, 0.2338230653212545]",0.5526433844132694,-3.5504372063580854,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-74.66311326449657,-0.7739535469156117,5.843468067207706,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-38.567738900473906,-0.5523653530093062,3.5789086898164406,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",70.97380681712595,0.7784689212282292,-5.431581853362886,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",36.631671368390464,True,"(-0.031139027298926508, 0.18549673152317092, 0.03999924353386678)","(0.9999971505660776, -0.0022642037706561637, -0.0007564661332230728)",-0.000503181178828863,565.4925793008347,True,"(0.030917119596597424, 0.1854085662421605, 0.04000075646613322)","(-0.9999971505660776, 0.002264203770598743, 0.0007564661332168607)",-0.0013606486484191646,538.0249494895718
15,Move,"(0.0, 0.0, 0.0)","(0.0, -0.0, 0.0)","(0.00016274991557831364, 0.17136475104845758, 0.0031640906121350575)","(1.4899865793592248, -0.0009251634143453488, -0.006053919932276661)","[-0.00012219357243566505, 7.948450010092367e-05, 0.001297313086590056]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5448782568355026]","[-0.06406860798597336, 0.11457370966672897, 0.03999999910593033]","[0.0, 0.0, -0.2125956411648876]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5441825092896027]","[0.06402575969696045, 0.11459966003894806, 0.03999999910593033]","[0.0, -0.0, 0.21903630347083206]",0.5463765798653516,0.35960109272080254,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.08406283938624641,-0.7590286933635231,-0.37315947580442554,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.017297597694563044,-0.5456033040750284,-0.3409927387516254,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.7656171975284948,0.7645763731677416,0.32581485659360865,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.4026025408250114,True,"(-0.031076504252458274, 0.1869479334441972, 0.04000075744199429)","(0.9999871217005202, -0.0050182382101970815, 0.0007574419942935584)",-0.000622934270282677,0.221954412255134,True,"(0.03056815038234164, 0.1867763680017247, 0.03999924255800572)","(-0.9999871217005204, 0.005018238210180842, -0.0007574419942756659)",-0.0016523435419804678,5.374466445399798
16,Move,"(0.0, 0.0, 0.0)","(0.0, -0.0, 0.0)","(-6.337957008313859e-05, 0.17133241267644161, 0.0031880816687959806)","(1.4928112904341142, -0.0006545114769320461, -0.010066132815740028)","[-0.0003483230580971173, 4.714612808495722e-05, 0.001321304143250979]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5488377527933422]","[-0.06431211531162262, 0.11442546546459198, 0.03999999910593033]","[0.0, 0.0, -0.21077310741645955]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.547995687933414]","[0.06426037847995758, 0.11445707082748413, 0.03999999910593033]","[0.0, -0.0, 0.2169509060645669]",0.5491401313630154,0.07257638027151496,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.3066840758721345,-0.7593620803589538,0.059702822107754495,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.14686756004205834,-0.548295775753571,-0.07200558529027003,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.6643207661695938,0.7647109215877755,-0.05658230443565377,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.31795978197997554,True,"(-0.031452010065560435, 0.18685325265429348, 0.04000070146695575)","(0.9999532896982327, -0.009639832249190858, 0.0007014669557505881)",-0.00041340728276361165,2.188996256819944,True,"(0.030953383604334986, 0.1867059297891543, 0.03999929853304425)","(-0.9999532896982325, 0.009639832249198349, -0.0007014669557489135)",-0.0011026932160781453,4.854951800701028
17,Move,"(0.0, 0.0, 0.0)","(0.0, -0.0, 0.0)","(-0.00018503635318464252, 0.17122426474338426, 0.0020779038654625036)","(1.531170242882305, -0.00043878763907482236, -0.013303537154011802)","[-0.0004699798411986212, -6.1001804972399265e-05, 0.00021112633991750198]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5506358975012704]","[-0.06442249566316605, 0.1143578290939331, 0.03999999910593033]","[0.0, 0.0, -0.20855083283645848]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5501015567963023]","[0.06438971310853958, 0.1143779456615448, 0.03999999910593033]","[0.0, -0.0, 0.21444578568664924]",0.550964684370257,0.07893443664831157,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.012805702760149012,-0.7592039490970093,-0.004165241203613213,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0009088854239197933,-0.5505144833763652,-0.09910896464782581,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.016095086986517626,0.7645634140777361,0.003867817593457087,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0011576950398015072,True,"(-0.0317234854629974, 0.1868532998353662, 0.0400004982027457)","(0.9999207622335561, -0.012578594845546423, 0.0004982027456894725)",-0.00022412003956257751,0.0,True,"(0.03126381973128947, 0.18671045140399978, 0.039999501797254304)","(-0.9999207622335559, 0.012578594845548739, -0.0004982027456943052)",-0.0007117677809595204,0.0
18,Move,"(0.0, 0.0, 0.0)","(0.0, -0.0, 0.0)","(-0.0004277538273214853, 0.17126797192516488, 0.0010311641756468666)","(1.58267588427068, 0.0064275966064735795, -0.009975418938230252)","[-0.000712697315335464, -1.7294623191776992e-05, -0.000835613349898135]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5518777554812124]","[-0.064498670399189, 0.11431099474430084, 0.03999999910593033]","[0.0, 0.0, -0.2073373115301465]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5519942448843683]","[0.06450581550598145, 0.11430659145116806, 0.03999999910593033]","[0.0, -0.0, 0.21250639377830308]",0.5520437496503438,0.03985208879633559,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0790086018797588,-0.7592126439660251,0.0005663086930798626,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.039238887150881335,-0.5522915816506297,-0.071355139069194,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.014569451659633744,0.7645069563132888,0.0015055403852617388,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0030520617795980897,True,"(-0.031887665163757795, 0.18684622277729562, 0.039995032857574046)","(0.9999245374169422, -0.011235967587816038, -0.004967142425954457)",-7.92050836614995e-05,0.5421080363873477,True,"(0.03152023518786095, 0.18669992431467627, 0.040004967142425955)","(-0.999924537416942, 0.011235967587829097, 0.004967142425953457)",-0.0004360834064517454,0.0
19,Move,"(0.0, 0.0, 0.0)","(0.0, -0.0, 0.0)","(-0.00041778291509190216, 0.1712858287849603, 0.0009736516888248238)","(1.576376882617879, 0.005111791454885032, -0.010346600353356963)","[-0.0007027264031058808, 5.622366036350801e-07, -0.0008931258367201779]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5522260863292079]","[-0.06452002376317978, 0.11429783701896667, 0.03999999910593033]","[0.0, 0.0, -0.20678545028574688]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5529631109328542]","[0.06456519663333893, 0.11426998674869537, 0.03999999910593033]","[0.0, -0.0, 0.21141555793991523]",0.5522425362611322,0.003963918503771326,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.5037441888725221,-0.7588208643827545,0.045739669225345024,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.2817833896017783,-0.553069050596091,-0.025432112892186606,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.007183279559051825,0.7643914749138225,0.003079503985766509,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.002142800571303537,True,"(-0.03194905333843053, 0.18685143297040394, 0.03999446620302089)","(0.9999315606046366, -0.010307822164258532, -0.005533796979109445)",-5.607961400218357e-05,3.816629944616403,True,"(0.03165858252404758, 0.1866972376303868, 0.040005533796979104)","(-0.9999315606046367, 0.010307822164254925, 0.0055337969791041325)",-0.0002591079968947621,0.0
20,Move,"(-0.00087, 0.0, 0.00049)","(0.0, 0.13771171397010862, 0.0)","(-0.00023528467225573583, 0.17130368172656205, 0.0009836848792497278)","(1.5744864160932044, 0.003569215639998521, -0.012420445510680451)","[-0.0005202281602697146, 1.8415178205388738e-05, -0.0008830926462952738]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5510523148647849]","[-0.0644480511546135, 0.11434213072061539, 0.03999999910593033]","[0.0, 0.0, -0.2070537838867298]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5541515194787524]","[0.06463798135519028, 0.11422500014305115, 0.03999999910593033]","[0.0, -0.0, 0.20975054858089662]",0.5507280250936244,-0.07782959841622344,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.7545018798428916,-0.7579568956168216,0.035806468066189256,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.44330722184279486,-0.5544174577799651,-0.06383801294866312,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.24600163919040594,0.7637591742603167,-0.03428363064449487,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.1269920909495828,True,"(-0.031857620375051805, 0.18688565600504314, 0.039996133183528404)","(0.9999217302403275, -0.011898786642545772, -0.0038668164716000185)",-4.2941544989845984e-05,5.762606936280296,True,"(0.03185199645816386, 0.18670687075423686, 0.040003866816471605)","(-0.9999217302403274, 0.0118987866425578, 0.003866816471600497)",-0.00017032911273950286,1.7565747999505235
