,Phase,human_cube_pos,human_cube_orn,Cube_Pos,Cube_Orn,Cube_pos_in_start_pos,b'l_prox_pin'_link_pos,b'l_prox_pin'_link_orn,b'l_distal_pin'_link_pos,b'l_distal_pin'_link_orn,b'r_prox_pin'_link_pos,b'r_prox_pin'_link_orn,b'r_distal_pin'_link_pos,b'r_distal_pin'_link_orn,b'l_prox_pin'_joint_angle,b'l_prox_pin'_joint_vel,b'l_prox_pin'_joint_react_forces,b'l_prox_pin'_joint_motor_torque,b'l_distal_pin'_joint_angle,b'l_distal_pin'_joint_vel,b'l_distal_pin'_joint_react_forces,b'l_distal_pin'_joint_motor_torque,b'r_prox_pin'_joint_angle,b'r_prox_pin'_joint_vel,b'r_prox_pin'_joint_react_forces,b'r_prox_pin'_joint_motor_torque,b'r_distal_pin'_joint_angle,b'r_distal_pin'_joint_vel,b'r_distal_pin'_joint_react_forces,b'r_distal_pin'_joint_motor_torque,in_contact_l,contact_point_l_dist,contact_normal_l_dist,contact_distance_l_dist,contact_norm_force_l_dist,in_contact_r,contact_point_r_dist,contact_normal_r_dist,contact_distance_r_dist,contact_norm_force_r_dist
0,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.0]","[-0.026750000193715096, 0.125, 0.03999999910593033]","[0.0, -0.0, 5.883223447970011e-32]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.008068665592501188]","[0.02733093686401844, 0.12499765306711197, 0.03999999910593033]","[0.0, 0.0, -0.0780932845685428]",0.157,37.68,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",54.702693795169004,5.294901130302062e-32,-1.4119736347472162e-30,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.9113724975844915,-0.1670280316324969,-38.150247946082466,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-25.93345404555236,-0.0659493391739072,0.9780670797324476,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.754749483880455,False,,,,,False,,,,
1,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.29830000998707634]","[-0.04791048914194107, 0.12182030081748962, 0.03999999910593033]","[0.0, -0.0, 0.29830000998707634]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.3122944642903269]","[0.048871491104364395, 0.12151744216680527, 0.03999999910593033]","[0.0, 0.0, -0.3793531994353912]",0.42546999999999996,30.5208,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.858074537215091,5.294901130302062e-32,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.33154044974508506,-0.44292449566296654,-31.35120824461403,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",100.88457241511576,-0.08373770380977785,-4.0029668326633345,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",24.077304806401806,False,,,,,False,,,,
2,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5399230359738098]","[-0.06376303732395172, 0.11475787311792374, 0.03999999910593033]","[0.0, -0.0, 0.5399230359738098]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5623038790270362]","[0.06513584405183792, 0.11391409486532211, 0.03999999910593033]","[0.0, 0.0, -0.6668711870723439]",0.6429307,24.721848,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.943806903965684,5.294901130302062e-32,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.2716098155097054,-0.6673401099248648,-25.208696742335626,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",94.97739775913854,-0.11755295807544866,-3.116564819203918,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",25.79194570087013,False,,,,,False,,,,
3,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.7356376306875043]","[-0.07506632059812546, 0.10638101398944855, 0.03999999910593033]","[0.0, -0.0, 0.7356376306875043]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.757991847340814]","[0.076247438788414, 0.10528770089149475, 0.03999999910593033]","[0.0, 0.0, -0.8659334873334429]",0.8190738670000001,20.024696880000004,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.2002295086701533,2.3293280891773424e-07,5.5903874140256216e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.22200715926400075,-0.8391926082762636,-19.488197112632974,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.295349739497939,-0.09714776835574307,2.590534961280482,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.25803221970863044,False,,,,,False,,,,
4,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.894166469119967]","[-0.08288749307394028, 0.09808415919542313, 0.03999999910593033]","[0.0, -0.0, 0.894166894674561]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.9122733503889549]","[0.08369457721710205, 0.09706035256385803, 0.03999999910593033]","[0.0, 0.0, -0.9997066729229968]",0.96174983227,16.220004472800003,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.5959652512206968,5.681494863714967e-07,3.553320838026869e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.18114955764248034,-0.9780460127037736,-15.785439661232708,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.503992476159733,-0.0786900142246732,2.098357403184359,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.15360133560797545,False,,,,,False,,,,
5,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.0225748785172661]","[-0.08819860219955444, 0.09052424877882004, 0.03999999910593033]","[0.0, -0.0, 1.0225755149967983]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.037241417801626]","[0.08874232321977615, 0.08961901068687439, 0.03999999910593033]","[0.0, 0.0, -1.1080626941470386]",1.0773173641387,13.138203622968001,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.105207702642618,7.694903593429899e-07,2.0776129443188934e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.14759587787833617,-1.0905172702900567,-12.78620612559849,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.0303755786213302,-0.06373917358809339,1.6996763127328351,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.1250328149112744,False,,,,,False,,,,
6,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.126585512342968]","[-0.09176240861415863, 0.08394166082143784, 0.03999999910593033]","[0.0, -0.0, 1.1265864725026016]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.13846552283997]","[0.09212540090084076, 0.08316715806722641, 0.03999999910593033]","[0.0, 0.0, -1.1958309904194953]",1.1709270649523469,10.641944934604087,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.7068426281171958,8.750681698751778e-07,1.0273240928962424e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.12011999884119333,-1.181618988934946,-10.356826961734775,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.6460093571929852,-0.051628943774705546,1.376743384776279,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.10168054944364863,False,,,,,False,,,,
7,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.2108343955497323]","[-0.09413553774356842, 0.07836118340492249, 0.03999999910593033]","[0.0, -0.0, 1.210835255049739]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.2204571829136446]","[0.09437645971775055, 0.07771158218383789, 0.03999999910593033]","[0.0, 0.0, -1.2669233179031547]",1.2467509226114009,8.619975397029307,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.3836082777937824,9.135722823677317e-07,2.9650129412077397e-06,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.09766941677677543,-1.2554113810373062,-8.38902983900517,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.334189480132575,-0.04181961771093252,1.1151666876061868,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.08262627878010878,False,,,,,False,,,,
8,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.2790758758817962]","[-0.09570803493261337, 0.0737072303891182, 0.03999999910593033]","[0.0, -0.0, 1.2790780932516201]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.2868702529032277]","[0.0958673357963562, 0.07316911965608597, 0.03999999910593033]","[0.0, 0.0, -1.3245087793274308]",1.3081682532711112,6.982181501004109,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.12145472366965,1.9027582300258812e-06,-5.0740219467356254e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.07939114715284208,-1.315183223212741,-6.795115266999686,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.0813262344929835,-0.033874873767778015,0.9033299671407473,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.06713055017345074,False,,,,,False,,,,
9,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.334351465706577]","[-0.09674673527479172, 0.06986585259437561, 0.03999999910593033]","[0.0, -0.0, 1.33435435145599]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.3406650641721125]","[0.09685182571411133, 0.06942359358072281, 0.03999999910593033]","[0.0, 0.0, -1.3711530696282732]",1.3579162851496,5.655565729344001,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.9088150211252332,3.4316066113876724e-06,0.0001607445165674468,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.06444344013525093,-1.3635984108023202,-5.504042378604797,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.8762522980402716,-0.02744024570882781,0.7315266716392431,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.05446985052483407,False,,,,,False,,,,
